Date,Value
2002-01-31,282.3
2002-02-28,296.85
2002-03-31,301.4
2002-04-30,308.2
2002-05-31,326.6
2002-06-30,318.5
2002-07-31,304.65
2002-08-31,312.8
2002-09-30,323.7
2002-10-31,316.9
2002-11-30,319.05
2002-12-31,347.2
2003-01-31,367.5
2003-02-28,347.45
2003-03-31,334.85
2003-04-30,336.75
2003-05-31,361.4
2003-06-30,346
2003-07-31,354.75
2003-08-31,375.6
2003-09-30,388
2003-10-31,386.25
2003-11-30,398.35
2003-12-31,416.25
2004-01-31,399.75
2004-02-29,395.85
2004-03-31,423.7
2004-04-30,388.5
2004-05-31,393.25
2004-06-30,395.8
2004-07-31,391.4
2004-08-31,407.25
2004-09-30,415.65
2004-10-31,425.55
2004-11-30,453.4
2004-12-31,435.6
2005-01-31,422.15
2005-02-28,435.45
2005-03-31,427.5
2005-04-30,435.7
2005-05-31,414.45
2005-06-30,437.1
2005-07-31,429
2005-08-31,433.25
2005-09-30,473.25
2005-10-31,470.75
2005-11-30,495.65
2005-12-31,513
2006-01-31,568.75
2006-02-28,556
2006-03-31,582
2006-04-30,644
2006-05-31,653
2006-06-30,613.5
2006-07-31,632.5
2006-08-31,623.5
2006-09-30,599.25
2006-10-31,603.75
2006-11-30,646.7
2006-12-31,632
2007-01-31,650.5
2007-02-28,664.2
2007-03-31,661.75
2007-04-30,677
2007-05-31,659.1
2007-06-30,650.5
2007-07-31,665.5
2007-08-31,672
2007-09-30,743
2007-10-31,789.5
2007-11-30,783.5
2007-12-31,833.75
2008-01-31,923.25
2008-02-29,971.5
2008-03-31,933.5
2008-04-30,871
2008-05-31,885.75
2008-06-30,930.25
2008-07-31,918
2008-08-31,833
2008-09-30,884.5
2008-10-31,850
2008-11-30,814.5
2008-12-31,869.75
2009-01-31,919.5
2009-02-28,952
2009-03-31,916.5
2009-04-30,883.25
2009-05-31,975.5
2009-06-30,934.5
2009-07-31,939
2009-08-31,955.5
2009-09-30,995.75
2009-10-31,1040
2009-11-30,1050
2009-12-31,1087.5
2010-01-31,1078.5
2010-02-28,1108.25
2010-03-31,1115.5
2010-04-30,1179.25
2010-05-31,1207.5
2010-06-30,1244
2010-07-31,1169
2010-08-31,1246
2010-09-30,1307
2010-10-31,1346.75
2010-11-30,1383.5
2010-12-31,1405.5
2011-01-31,1327
2011-02-28,1411
2011-03-31,1439
2011-04-30,1535.5
2011-05-31,1536.5
2011-06-30,1505.5
2011-07-31,1628.5
2011-08-31,1813.5
2011-09-30,1620
2011-10-31,1722
2011-11-30,1746
2011-12-31,1531
2012-01-31,1744
2012-02-29,1770
2012-03-31,1662.5
2012-04-30,1651.25
2012-05-31,1558
2012-06-30,1598.5
2012-07-31,1622
2012-08-31,1648.5
2012-09-30,1776
2012-10-31,1719
2012-11-30,1726
2012-12-31,1657.5
2013-01-31,1664.75
2013-02-28,1588.5
2013-03-31,1598.25
2013-04-30,1469
2013-05-31,1394.5
2013-06-30,1192
2013-07-31,1314.5
2013-08-31,1394.75
2013-09-30,1326.5
2013-10-31,1324
2013-11-30,1253
2013-12-31,1204.5
2014-01-31,1251
2014-02-28,1326.5
2014-03-31,1291.75
2014-04-30,1288.5
2014-05-31,1250.5
2014-06-30,1315
2014-07-31,1285.25
2014-08-31,1285.75
2014-09-30,1216.5
2014-10-31,1164.25
2014-11-30,1182.75
2014-12-31,1206
2015-01-31,1260.25
2015-02-28,1214
2015-03-31,1187
2015-04-30,1180.25
2015-05-31,1191.4
2015-06-30,1171
2015-07-31,1098.4
2015-08-31,1135
2015-09-30,1114
2015-10-31,1142.35
2015-11-30,1061.9
2015-12-31,1060
2016-01-31,1111.8
2016-02-29,1234.9
2016-03-31,1237
2016-04-30,1285.65
2016-05-31,1212.1
2016-06-30,1320.75
2016-07-31,1342
2016-08-31,1309.25
2016-09-30,1322.5
2016-10-31,1272
2016-11-30,1178.1
2016-12-31,1145.9
2017-01-31,1212.8
2017-02-28,1255.6
2017-03-31,1244.85
2017-04-30,1266.45
2017-05-31,1266.2
2017-06-30,1242.25
2017-07-31,1267.55
2017-08-31,1311.75
2017-09-30,1283.1
2017-10-31,1270.15
2017-11-30,1280.2
2017-12-31,1291
2018-01-31,1345.05
2018-02-28,1317.85
2018-03-31,1323.85
2018-04-30,1313.2
2018-05-31,1305.35
2018-06-30,1250.45
2018-07-31,1220.95
2018-08-31,1202.45
2018-09-30,1187.25
2018-10-31,1214.95
2018-11-30,1217.55
2018-12-31,1279
